timestamp,pair,base,quote,rate,pip_value,name
2025-10-21T15:48:12.020291,EUR/USD,EUR,USD,1.16,0.0001,Euro / US Dollar
2025-10-21T15:48:13.174865,GBP/USD,GBP,USD,1.34,0.0001,British Pound / US Dollar
2025-10-21T15:48:14.431671,USD/JPY,USD,JPY,150.7,0.01,US Dollar / Japanese Yen
2025-10-21T15:48:15.773276,USD/CHF,USD,CHF,0.793,0.0001,US Dollar / Swiss Franc
2025-10-21T15:48:16.983795,AUD/USD,AUD,USD,0.651,0.0001,Australian Dollar / US Dollar
2025-10-21T15:48:18.147195,USD/CAD,USD,CAD,1.4,0.0001,US Dollar / Canadian Dollar
2025-10-21T15:48:19.319541,NZD/USD,NZD,USD,0.574,0.0001,New Zealand Dollar / US Dollar
2025-10-21T15:48:20.590951,EUR/GBP,EUR,GBP,0.869,0.0001,Euro / British Pound
2025-10-21T15:48:21.782196,EUR/JPY,EUR,JPY,175.58,0.01,Euro / Japanese Yen
2025-10-21T15:48:22.981093,GBP/JPY,GBP,JPY,202.1,0.01,British Pound / Japanese Yen
2025-10-21T15:49:24.172801,EUR/USD,EUR,USD,1.16,0.0001,Euro / US Dollar
2025-10-21T15:49:25.404681,GBP/USD,GBP,USD,1.34,0.0001,British Pound / US Dollar
2025-10-21T15:49:26.563866,USD/JPY,USD,JPY,150.7,0.01,US Dollar / Japanese Yen
2025-10-21T15:49:27.760130,USD/CHF,USD,CHF,0.793,0.0001,US Dollar / Swiss Franc
2025-10-21T15:49:28.988429,AUD/USD,AUD,USD,0.651,0.0001,Australian Dollar / US Dollar
2025-10-21T15:49:30.166908,USD/CAD,USD,CAD,1.4,0.0001,US Dollar / Canadian Dollar
2025-10-21T15:49:31.390301,NZD/USD,NZD,USD,0.574,0.0001,New Zealand Dollar / US Dollar
2025-10-21T15:49:32.555262,EUR/GBP,EUR,GBP,0.869,0.0001,Euro / British Pound
2025-10-21T15:49:33.801388,EUR/JPY,EUR,JPY,175.58,0.01,Euro / Japanese Yen
2025-10-21T15:49:34.988125,GBP/JPY,GBP,JPY,202.1,0.01,British Pound / Japanese Yen
2025-10-21T15:50:36.193733,EUR/USD,EUR,USD,1.16,0.0001,Euro / US Dollar
2025-10-21T15:50:37.380084,GBP/USD,GBP,USD,1.34,0.0001,British Pound / US Dollar
2025-10-21T15:50:38.546782,USD/JPY,USD,JPY,150.7,0.01,US Dollar / Japanese Yen
2025-10-21T15:50:39.747700,USD/CHF,USD,CHF,0.793,0.0001,US Dollar / Swiss Franc
2025-10-21T15:50:40.962015,AUD/USD,AUD,USD,0.651,0.0001,Australian Dollar / US Dollar
2025-10-21T15:50:42.154600,USD/CAD,USD,CAD,1.4,0.0001,US Dollar / Canadian Dollar
2025-10-21T15:50:43.419903,NZD/USD,NZD,USD,0.574,0.0001,New Zealand Dollar / US Dollar
2025-10-21T15:50:44.574215,EUR/GBP,EUR,GBP,0.869,0.0001,Euro / British Pound
2025-10-21T15:50:45.789789,EUR/JPY,EUR,JPY,175.58,0.01,Euro / Japanese Yen
2025-10-21T15:50:47.007712,GBP/JPY,GBP,JPY,202.1,0.01,British Pound / Japanese Yen
2025-10-21T15:51:48.241764,EUR/USD,EUR,USD,1.16,0.0001,Euro / US Dollar
2025-10-21T15:51:49.411179,GBP/USD,GBP,USD,1.34,0.0001,British Pound / US Dollar
2025-10-21T15:51:50.560646,USD/JPY,USD,JPY,150.7,0.01,US Dollar / Japanese Yen
2025-10-21T15:51:51.745140,USD/CHF,USD,CHF,0.793,0.0001,US Dollar / Swiss Franc
2025-10-21T15:51:52.909768,AUD/USD,AUD,USD,0.651,0.0001,Australian Dollar / US Dollar
2025-10-21T15:51:54.089825,USD/CAD,USD,CAD,1.4,0.0001,US Dollar / Canadian Dollar
2025-10-21T15:51:55.297629,NZD/USD,NZD,USD,0.574,0.0001,New Zealand Dollar / US Dollar
2025-10-21T15:51:56.545273,EUR/GBP,EUR,GBP,0.869,0.0001,Euro / British Pound
2025-10-21T15:51:57.765140,EUR/JPY,EUR,JPY,175.58,0.01,Euro / Japanese Yen
2025-10-21T15:51:58.942836,GBP/JPY,GBP,JPY,202.1,0.01,British Pound / Japanese Yen
2025-10-21T15:53:00.227852,EUR/USD,EUR,USD,1.16,0.0001,Euro / US Dollar
